# col1    HIP     RA               DE               RARad          DERad          
  58128   58128   178.8403171799   -63.7035467623   3.1213523701   -1.1118366362  
  58794   58794   180.8860655886   -61.0982979963   3.1570574155   -1.0663664674  
  58974   58974   181.3871109295   -69.9132008419   3.1658023064   -1.2202155453  
  59173   59173   182.0219015106   -50.6612544934   3.1768814921   -0.8842056941  
  59196   59196   182.0897652216   -50.7224099171   3.1780659373   -0.8852730576  
  59232   59232   182.2274921918   -41.2315845837   3.1804697264   -0.7196269068  
  59653   59653   183.5074316803   -59.3969036739   3.2028088847   -1.0366715346  
  60189   60189   185.1404610968   -22.2158339039   3.2313106248   -0.3877394477  
  60737   60737   186.7181549943   -60.7538619254   3.2588465779   -1.0603549239  
  61281   61281   188.371010458    69.7882098755    3.2876943478   1.2180340414   
  61448   61448   188.8853229116   -64.2212428468   3.2966707935   -1.1208721374  
  61738   61738   189.8109857103   -75.3705693465   3.3128266571   -1.3154645942  
  61966   61966   190.4858200194   -59.6858108182   3.3246047377   -1.0417139155  
  62027   62027   190.7095117151   -63.0586158424   3.3285088943   -1.1005804682  
  62291   62291   191.4748514059   -60.5515146493   3.3418665918   -1.0568232977  
  63005   63005   193.6538385659   -57.1686439369   3.3798970921   -0.9977810656  
  63007   63007   193.6634167529   -59.146665308    3.380064263    -1.0323040512  
  63049   63049   193.7852691253   -59.0187257518   3.3821909881   -1.0300710847  
  63275   63275   194.5034920042   -59.0843275629   3.3947263421   -1.0312160523  
  63688   63688   195.7723355863   -71.4757232009   3.4168718403   -1.2474867051  
  64359   64359   197.8730373684   -55.3568371238   3.453536003    -0.9661590713  
  64578   64578   198.5480659045   -63.3737311247   3.4653174735   -1.1060802674  
  64622   64622   198.6695568207   -38.6515895341   3.46743789     -0.6745974985  
  64653   64653   198.7917103398   -60.9668695339   3.4695698711   -1.064072608   
  65637   65637   201.8544431989   -62.6490097299   3.5230246436   -1.0934314929  
  65681   65681   202.0062962144   -61.0625002751   3.5256749787   -1.0657416793  
  65693   65693   202.0305163665   -66.2797603248   3.5260977001   -1.1568000451  
  65818   65818   202.3928806249   -61.1933609993   3.5324221495   -1.0680256298  
  65848   65848   202.4774024478   -65.5019912772   3.5338973336   -1.1432254144  
  65952   65952   202.8177344908   -53.0965503638   3.5398372483   -0.9267096253  
  66372   66372   204.0874726147   -63.1456760231   3.5619983592   -1.102099955   
  66555   66555   204.6483105992   -69.2942626509   3.5717868286   -1.209413036   
  67108   67108   206.3267219056   -66.7546499647   3.6010806321   -1.1650884329  
  67472   67472   207.4041992056   -42.4736851372   3.6198861586   -0.7413056511  
  67611   67611   207.8096261353   -63.8899945913   3.6269621934   -1.1150907647  
  67809   67809   208.3676441534   -39.0572000796   3.6367014451   -0.681676738   
  67861   67861   208.4885296308   -47.128153382    3.6388112947   -0.8225414469  
